stimnum,stim,stimtype,tc,rf,freq
1,scrutinize,ass,truth,prev,870
2,review,ass,truth,prev,51511
3,judge,ass,truth,prev,59956
4,assess,ass,truth,prev,14514
5,examine,ass,truth,prev,19024
6,verify,ass,truth,prev,3396
7,explore,cur,truth,prom,18044
8,invent,cur,truth,prom,2482
9,seek,cur,truth,prom,26157
10,discover,cur,truth,prom,14202
11,imagine,cur,truth,prom,44255
12,wonder,cur,truth,prom,40220
13,guard,res,control,prev,36702
14,resist,res,control,prev,10122
15,defend,res,control,prev,15370
16,protect,res,control,prev,45116
17,preserve,res,control,prev,12644
18,maintain,res,control,prev,28646
19,propel,loc,control,prom,1388
20,accelerate,loc,control,prom,2949
21,progress,loc,control,prom,38126
22,elevate,loc,control,prom,1598
23,lead,loc,control,prom,83252
24,launch,loc,control,prom,16515
25,control,cgen,control,gen,145154
26,manage,cgen,control,gen,18616
27,operate,cgen,control,gen,14749
28,inquire,tgen,truth,gen,1533
29,investigate,tgen,truth,gen,12174
30,consider,tgen,truth,gen,59785
31,exercise,gen,gen,gen,37728
32,communicate,gen,gen,gen,11536
33,sleep,gen,gen,gen,49735
34,read,gen,gen,gen,119728
35,shower,gen,gen,gen,11914
36,pray,gen,gen,gen,9952
